Team1,Team2,Score
Maryland-2002,Siena-2002,0.633928571
Wisconsin-2002,St Johns-2002,0.589285714
Marquette-2002,Tulsa-2002,0.46969697
Kentucky-2002,Valparaiso-2002,0.633928571
Texas Tech-2002,S Illinois-2002,0.378787879
Georgia-2002,Murray St-2002,0.651785714
NC State-2002,Michigan St-2002,0.598214286
Connecticut-2002,Hampton-2002,0.598214286
Maryland-2002,Wisconsin-2002,0.767857143
Tulsa-2002,Kentucky-2002,0.424242424
S Illinois-2002,Georgia-2002,0.517857143
NC State-2002,Connecticut-2002,0.454545455
Maryland-2002,Kentucky-2002,0.589285714
S Illinois-2002,Connecticut-2002,0.318181818
Maryland-2002,Connecticut-2002,0.571428571
Kansas-2002,Holy Cross-2002,0.598214286
Stanford-2002,W Kentucky-2002,0.642857143
Florida-2002,Creighton-2002,0.484848485
Illinois-2002,San Diego St-2002,0.758928571
Texas-2002,Boston Col-2002,0.616071429
Miss State-2002,McNeese St-2002,0.607142857
Wake Forest-2002,Pepperdine-2002,0.580357143
Oregon-2002,Montana-2002,0.669642857
Kansas-2002,Stanford-2002,0.705357143
Creighton-2002,Illinois-2002,0.318181818
Texas-2002,Miss State-2002,0.535714286
Wake Forest-2002,Oregon-2002,0.424242424
Kansas-2002,Illinois-2002,0.535714286
Texas-2002,Oregon-2002,0.46969697
Kansas-2002,Oregon-2002,0.660714286
Duke-2002,Winthrop-2002,0.919642857
Notre Dame-2002,Charlotte-2002,0.669642857
Indiana-2002,Utah-2002,0.669642857
USC-2002,NC-Wilmgton-2002,0.439393939
California-2002,U Penn-2002,0.5625
Pittsburgh-2002,Central Conn-2002,0.651785714
Oklahoma St-2002,Kent State-2002,0.378787879
Alabama-2002,Fla Atlantic-2002,0.571428571
Duke-2002,Notre Dame-2002,0.5625
Indiana-2002,NC-Wilmgton-2002,0.580357143
California-2002,Pittsburgh-2002,0.303030303
Kent State-2002,Alabama-2002,0.616071429
Duke-2002,Indiana-2002,0.484848485
Pittsburgh-2002,Kent State-2002,0.424242424
Indiana-2002,Kent State-2002,0.607142857
Cincinnati-2002,Boston U-2002,0.839285714
UCLA-2002,Mississippi-2002,0.696428571
Miami (FL)-2002,Missouri-2002,0.303030303
Ohio State-2002,Davidson-2002,0.544642857
Gonzaga-2002,Wyoming-2002,0.393939394
Arizona-2002,UCSB-2002,0.544642857
Xavier-2002,Hawaii-2002,0.607142857
Oklahoma-2002,IL-Chicago-2002,0.571428571
Cincinnati-2002,UCLA-2002,0.439393939
Missouri-2002,Ohio State-2002,0.642857143
Wyoming-2002,Arizona-2002,0.378787879
Xavier-2002,Oklahoma-2002,0.303030303
UCLA-2002,Missouri-2002,0.363636364
Arizona-2002,Oklahoma-2002,0.181818182
Missouri-2002,Oklahoma-2002,0.409090909
Maryland-2002,Kansas-2002,0.580357143
Indiana-2002,Oklahoma-2002,0.580357143
Maryland-2002,Indiana-2002,0.607142857
Arizona-2003,Vermont-2003,0.758928571
Cincinnati-2003,Gonzaga-2003,0.424242424
Notre Dame-2003,WI-Milwkee-2003,0.508928571
Illinois-2003,W Kentucky-2003,0.544642857
Creighton-2003,Central Mich-2003,0.409090909
Duke-2003,Colorado St-2003,0.589285714
Memphis-2003,Arizona St-2003,0.303030303
Kansas-2003,Utah State-2003,0.526785714
Arizona-2003,Gonzaga-2003,0.508928571
Notre Dame-2003,Illinois-2003,0.571428571
Central Mich-2003,Duke-2003,0.106060606
Arizona St-2003,Kansas-2003,0.015151515
Arizona-2003,Notre Dame-2003,0.651785714
Duke-2003,Kansas-2003,0.439393939
Arizona-2003,Kansas-2003,0.454545455
Kentucky-2003,IUPUI-2003,0.776785714
Oregon-2003,Utah-2003,0.46969697
Wisconsin-2003,Weber State-2003,0.5625
Dayton-2003,Tulsa-2003,0.303030303
Missouri-2003,S Illinois-2003,0.508928571
Marquette-2003,Holy Cross-2003,0.535714286
Indiana-2003,Alabama-2003,0.544642857
Pittsburgh-2003,Wagner-2003,0.732142857
Kentucky-2003,Utah-2003,0.678571429
Wisconsin-2003,Tulsa-2003,0.508928571
Missouri-2003,Marquette-2003,0.363636364
Indiana-2003,Pittsburgh-2003,0.166666667
Kentucky-2003,Wisconsin-2003,0.553571429
Marquette-2003,Pittsburgh-2003,0.526785714
Kentucky-2003,Marquette-2003,0.287878788
Texas-2003,NC-Asheville-2003,0.6875
LSU-2003,Purdue-2003,0.136363636
Connecticut-2003,BYU-2003,0.544642857
Stanford-2003,San Diego-2003,0.571428571
Maryland-2003,NC-Wilmgton-2003,0.517857143
Xavier-2003,Troy-2003,0.607142857
Michigan St-2003,Colorado-2003,0.633928571
Florida-2003,Sam Hous St-2003,0.767857143
Texas-2003,Purdue-2003,0.589285714
Connecticut-2003,Stanford-2003,0.598214286
Maryland-2003,Xavier-2003,0.616071429
Michigan St-2003,Florida-2003,0.696428571
Texas-2003,Connecticut-2003,0.535714286
Maryland-2003,Michigan St-2003,0.46969697
Texas-2003,Michigan St-2003,0.580357143
Oklahoma-2003,S Car State-2003,0.651785714
California-2003,NC State-2003,0.517857143
Miss State-2003,Butler-2003,0.484848485
Louisville-2003,Austin Peay-2003,0.696428571
Oklahoma St-2003,U Penn-2003,0.625
